total__N,total__Temperature,total__Treatment,total__Group   #,animal_id,total__Femur BV (mm³),total__Femur Scout View Length (mm),diaphysis_cortical__N,diaphysis_cortical__Temperature,diaphysis_cortical__Treatment,diaphysis_cortical__Group   #,diaphysis_cortical__Femur Cross Sectional Volume (mm3),diaphysis_cortical__Femur Cortical Volume (mm3),diaphysis_cortical__Femur Marrow Volume (mm3),diaphysis_cortical__Femur Cortical Thickness (µm),diaphysis_cortical__Femur pMOI (mm4),metaphysis_cancellous__N,metaphysis_cancellous__Temperature,metaphysis_cancellous__Treatment,metaphysis_cancellous__Group   #,metaphysis_cancellous__Femur BV/TV (%),metaphysis_cancellous__Femur Conn-dens (1/(mm3),metaphysis_cancellous__Femur Tb.N (1/mm),metaphysis_cancellous__Femur Tb.Th (µm),metaphysis_cancellous__Femur Tb.Sp (µm),epiphysis_cancellous__N,epiphysis_cancellous__Temperature,epiphysis_cancellous__Treatment,epiphysis_cancellous__Group   #,epiphysis_cancellous__Femur BV/TV (%),epiphysis_cancellous__Femur Conn-Dens (1/mm³),epiphysis_cancellous__Femur     Tb.N     (1/mm),epiphysis_cancellous__Femur      Tb.Th     (µm),epiphysis_cancellous__Femur     Tb.Sp     (µm),material_type,total__Humerus    BV    (mm³),total__Humerus   Scout View   Length   (mm),diaphysis_cortical__Humerus Cross Sectional Volume (mm³),diaphysis_cortical__Humerus Cortical  Volume (mm³),diaphysis_cortical__Humerus Marrow Volume (mm³),diaphysis_cortical__Humerus Cortical Thickness (µm),diaphysis_cortical__Humerus  pMOI  (mm⁴),metaphysis_cancellous__Humerus BV/TV (%),metaphysis_cancellous__Humerus Conn-Dens. (1/mm³),metaphysis_cancellous__Humerus Tb.N (1/mm),metaphysis_cancellous__Humerus Tb.Th (µm),metaphysis_cancellous__Humerus Tb.Sp (µm),epiphysis_cancellous__Humerus  BV/TV  (%),epiphysis_cancellous__Humerus  Conn-Dens.  (1/mm³),epiphysis_cancellous__Humerus  Tb.N  (1/mm),epiphysis_cancellous__Humerus Tb.Th  (µm),epiphysis_cancellous__Humerus  Tb.Sp  (µm),epiphysis_cancellous__Comments,N,temperature,condition,Group   #,body_weight_g
,22C (72F),Baseline,1.0,21.0,13.7123,13.3,,22C (72F),Baseline,1.0,0.4087,0.1528,0.2559,151.0,0.27988,,22C (72F),Baseline,1.0,13.08,233.9852,6.1783,36.4,158.6,,22C (72F),Baseline,1.0,24.38,332.6163,6.3609,46.9,155.9,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,17.0
,22C (72F),HLU,3.0,22.0,11.7016,13.7,,22C (72F),HLU,3.0,0.4172,0.1491,0.2681,143.0,0.2852,,22C (72F),HLU,3.0,8.42,77.972,4.3772,45.199999999999996,232.2,,22C (72F),HLU,3.0,18.0,236.9128,5.578,40.800000000000004,186.6,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,15.9
,32C (90F),Control,4.0,23.0,15.0795,13.6,,32C (90F),Control,4.0,0.3916,0.1583,0.2333,160.0,0.27796,,32C (90F),Control,4.0,19.45,276.6624,6.5065,42.0,152.7,,32C (90F),Control,4.0,29.409999999999997,223.2232,6.4905,52.5,151.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,15.3
,32C (90F),HLU,5.0,24.0,12.1818,13.4,,32C (90F),HLU,5.0,0.3875,0.1494,0.2381,150.0,0.2687,,32C (90F),HLU,5.0,13.420000000000002,199.1451,5.7535,38.1,171.9,,32C (90F),HLU,5.0,24.34,334.1545,7.1351,44.2,140.0,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,14.2
,22C (72F),HLU,3.0,25.0,12.5265,14.1,,22C (72F),HLU,3.0,0.4077,0.1496,0.2581,146.0,0.27501,,22C (72F),HLU,3.0,5.82,58.5721,4.2171,38.199999999999996,241.2,,22C (72F),HLU,3.0,20.82,180.2907,5.6832,49.4,175.0,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,18.0
,22C (72F),Control,2.0,26.0,15.7656,13.9,,22C (72F),Control,2.0,0.4209,0.1649,0.256,159.0,0.31231,,22C (72F),Control,2.0,12.44,171.6259,5.2278,40.300000000000004,191.0,,22C (72F),Control,2.0,28.88,228.0343,6.6456,54.4,150.7,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,17.7
,22C (72F),Baseline,1.0,27.0,15.1999,13.5,,22C (72F),Baseline,1.0,0.4435,0.1592,0.2843,149.0,0.32337,,22C (72F),Baseline,1.0,17.330000000000002,250.9873,6.7436,41.8,145.4,,22C (72F),Baseline,1.0,23.34,315.4899,7.7916,43.9,139.5,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,16.8
,22C (72F),HLU,3.0,28.0,11.735,14.1,,22C (72F),HLU,3.0,0.3909,0.135,0.2559,134.0,0.23864,,22C (72F),HLU,3.0,7.99,51.2935,4.4673,44.3,223.0,,22C (72F),HLU,3.0,21.37,272.7107,6.5892,44.0,155.70000000000002,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,16.6
,22C (72F),Control,2.0,29.0,13.8445,13.6,,22C (72F),Control,2.0,0.4003,0.1452,0.2551,143.0,0.26137,,22C (72F),Control,2.0,12.520000000000001,212.8706,5.2512,38.3,191.1,,22C (72F),Control,2.0,26.979999999999997,268.5992,6.1908,49.2,160.1,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,14.3
,22C (72F),Baseline,1.0,30.0,14.5038,13.6,,22C (72F),Baseline,1.0,0.4253,0.1578,0.2675,152.0,0.29786,,22C (72F),Baseline,1.0,15.25,212.408,5.8993,40.2,169.3,,22C (72F),Baseline,1.0,26.619999999999997,298.7755,7.1976,48.800000000000004,139.1,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,16.4
,22C (72F),Baseline,1.0,31.0,12.6373,13.3,,22C (72F),Baseline,1.0,0.3856,0.1482,0.2374,152.0,0.25138,,22C (72F),Baseline,1.0,12.49,195.1194,6.3647,38.0,158.6,,22C (72F),Baseline,1.0,23.1,315.9696,6.7953,45.1,146.1,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,15.4
,22C (72F),Control,2.0,32.0,13.9349,13.7,,22C (72F),Control,2.0,0.4111,0.1408,0.2703,136.0,0.26363,,22C (72F),Control,2.0,13.08,226.4779,6.0793,36.5,162.1,,22C (72F),Control,2.0,25.95,254.5318,6.7503,49.6,145.3,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,18.2
,32C (90F),Control,4.0,33.0,14.8847,13.6,,32C (90F),Control,4.0,0.4005,0.1619,0.23860000000000003,161.0,0.288,,32C (90F),Control,4.0,15.61,278.7464,6.2472,39.5,158.6,,32C (90F),Control,4.0,30.64,255.6821,7.3966,53.699999999999996,138.8,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,17.7
,22C (72F),Baseline,1.0,34.0,13.3857,13.4,,22C (72F),Baseline,1.0,0.3543,0.149,0.2053,160.0,0.22973,,22C (72F),Baseline,1.0,15.629999999999999,287.4846,5.9602,39.199999999999996,166.8,,22C (72F),Baseline,1.0,30.42,347.6468,7.4935,51.1,128.1,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Baseline,1.0,15.7
,32C (90F),HLU,5.0,35.0,12.6645,13.6,,32C (90F),HLU,5.0,0.4382,0.1455,0.29269999999999996,137.0,0.29067,,32C (90F),HLU,5.0,10.65,168.9302,5.592,36.8,177.7,,32C (90F),HLU,5.0,22.470000000000002,271.9923,6.3336,43.8,155.29999999999998,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,16.6
,22C (72F),Control,2.0,36.0,14.7082,13.6,,22C (72F),Control,2.0,0.4001,0.1514,0.2487,151.0,0.27134,,22C (72F),Control,2.0,14.360000000000001,216.3495,5.7825,40.9,172.1,,22C (72F),Control,2.0,26.979999999999997,245.5984,7.3068,49.0,144.6,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,16.0
,32C (90F),Control,4.0,37.0,14.5468,13.4,,32C (90F),Control,4.0,0.3873,0.1499,0.23739999999999997,152.0,0.25913,,32C (90F),Control,4.0,19.28,309.0881,6.4413,42.5,151.10000000000002,,32C (90F),Control,4.0,27.91,250.7816,6.923,51.6,150.7,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,17.2
,22C (72F),HLU,3.0,38.0,11.4091,13.6,,22C (72F),HLU,3.0,0.4228,0.148,0.27480000000000004,138.0,0.28693,,22C (72F),HLU,3.0,5.800000000000001,48.7004,4.2007,38.0,242.10000000000002,,22C (72F),HLU,3.0,16.99,282.9166,6.545,38.3,155.5,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,14.8
10.0,22C (72F),Baseline,1.0,39.0,16.2272,14.1,10.0,22C (72F),Baseline,1.0,0.4321,0.173,0.2591,166.0,0.33375,10.0,22C (72F),Baseline,1.0,14.52,213.7147,6.3451,40.5,158.0,10.0,22C (72F),Baseline,1.0,27.22,257.0874,6.3327,50.5,151.60000000000002,femur,,,,,,,,,,,,,,,,,,,10.0,22C (72F),Baseline,1.0,18.5
,22C (72F),HLU,3.0,40.0,13.1134,14.1,,22C (72F),HLU,3.0,0.4329,0.1433,0.28959999999999997,134.0,0.28619,,22C (72F),HLU,3.0,8.86,85.9476,4.4854,47.6,225.70000000000002,,22C (72F),HLU,3.0,24.02,248.6681,6.8536,48.099999999999994,151.2,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,16.6
,22C (72F),HLU,3.0,41.0,11.9459,13.7,,22C (72F),HLU,3.0,0.4223,0.1414,0.28090000000000004,134.0,0.27615,,22C (72F),HLU,3.0,8.690000000000001,94.8988,4.9568,39.300000000000004,202.6,,22C (72F),HLU,3.0,22.42,262.2067,6.4564,46.199999999999996,155.5,femur,,,,,,,,,,,,,,,,,,,,22C (72F),HLU,3.0,14.5
,22C (72F),Control,2.0,42.0,15.4488,13.7,,22C (72F),Control,2.0,0.4235,0.1608,0.2627,154.0,0.30961,,22C (72F),Control,2.0,10.14,122.5005,5.3313,37.1,188.4,,22C (72F),Control,2.0,26.029999999999998,249.8319,6.8135,50.3,149.5,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,18.3
,22C (72F),Control,2.0,43.0,16.6275,14.0,,22C (72F),Control,2.0,0.4173,0.1686,0.2487,165.0,0.31377,,22C (72F),Control,2.0,15.559999999999999,222.9315,5.9013,41.2,165.8,,22C (72F),Control,2.0,28.939999999999998,255.0534,6.8068,53.199999999999996,144.7,femur,,,,,,,,,,,,,,,,,,,,22C (72F),Control,2.0,18.3
,32C (90F),HLU,5.0,44.0,13.9742,13.7,,32C (90F),HLU,5.0,0.4473,0.163,0.2843,153.0,0.32526,,32C (90F),HLU,5.0,16.900000000000002,195.5035,6.0866,45.3,160.8,,32C (90F),HLU,5.0,28.139999999999997,252.2322,6.2881,53.400000000000006,149.7,femur,,,,,,,,,,,,,,,,,,,,32C (90F),HLU,5.0,17.4
,32C (90F),Control,4.0,45.0,13.7387,13.1,,32C (90F),Control,4.0,0.3845,0.1448,0.2397,147.0,0.24984,,32C (90F),Control,4.0,16.53,264.8237,6.315,42.3,154.29999999999998,,32C (90F),Control,4.0,31.14,270.0823,6.95,53.5,139.9,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,16.3
10.0,22C (72F),Control,2.0,46.0,13.8632,13.4,10.0,22C (72F),Control,2.0,0.4029,0.1424,0.26049999999999995,140.0,0.26094,10.0,22C (72F),Control,2.0,12.97,206.573,5.679,37.6,175.8,10.0,22C (72F),Control,2.0,28.21,252.0708,6.6525,50.2,154.9,femur,,,,,,,,,,,,,,,,,,,10.0,22C (72F),Control,2.0,14.8
,32C (90F),Control,4.0,47.0,15.5922,13.8,,32C (90F),Control,4.0,0.4184,0.1623,0.2561,157.0,0.30609,,32C (90F),Control,4.0,17.41,240.6001,5.8366,45.3,167.5,,32C (90F),Control,4.0,28.77,256.5979,6.5988,52.2,150.29999999999998,femur,,,,,,,,,,,,,,,,,,,,32C (90F),Control,4.0,18.7
10.0,22C (72F),HLU,3.0,48.0,9.7742,13.9,10.0,22C (72F),HLU,3.0,0.4,0.1344,0.26560000000000006,132.0,0.23928,10.0,22C (72F),HLU,3.0,2.97,16.1396,3.8858,38.3,280.6,10.0,22C (72F),HLU,3.0,12.1,171.2151,5.6127,37.699999999999996,183.10000000000002,femur,,,,,,,,,,,,,,,,,,,10.0,22C (72F),HLU,3.0,16.8
10.0,32C (90F),HLU,5.0,49.0,13.6909,13.9,10.0,32C (90F),HLU,5.0,0.4528,0.1531,0.29969999999999997,140.0,0.31387,10.0,32C (90F),HLU,5.0,12.19,157.7374,5.5251,41.7,176.9,10.0,32C (90F),HLU,5.0,24.19,257.6031,5.8847,47.5,174.1,femur,,,,,,,,,,,,,,,,,,,10.0,32C (90F),HLU,5.0,19.6
10.0,32C (90F),Control,4.0,50.0,16.0754,13.8,10.0,32C (90F),Control,4.0,0.4314,0.1626,0.26880000000000004,157.0,0.312,10.0,32C (90F),Control,4.0,17.66,267.0004,6.3184,40.7,154.9,10.0,32C (90F),Control,4.0,29.880000000000003,238.6544,5.9875,56.2,161.8,femur,,,,,,,,,,,,,,,,,,,10.0,32C (90F),Control,4.0,17.6
50.0,,,,,,,50.0,,,,,,,,,50.0,,,,,,,,,50.0,,,,,,,,,femur,,,,,,,,,,,,,,,,,,,50.0,,,,
,22C (72F),HLU,3.0,1.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,6.1853,11.0,0.1979,0.0923,0.1056,136.0,0.07511,7.61,89.0377,5.4322,35.1,189.9,25.540000000000003,296.2654,5.5942,48.300000000000004,172.8,,,22C (72F),HLU,3.0,17.8
,22C (72F),Baseline,1.0,2.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,6.9075,10.7,0.1909,0.1029,0.08799999999999998,157.0,0.07814,9.04,123.4994,5.4653,34.3,185.1,34.02,352.3408,7.5101,53.400000000000006,135.6,,,22C (72F),Baseline,1.0,16.1
,32C (90F),HLU,5.0,3.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,7.3036,11.0,0.2017,0.1048,0.09689999999999999,154.0,0.08626,13.4,208.3563,6.4091,38.699999999999996,151.7,31.85,258.7242,6.1693,54.0,161.20000000000002,,,32C (90F),HLU,5.0,16.5
,22C (72F),Baseline,1.0,4.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,7.1859,11.1,0.1911,0.1002,0.0909,153.0,0.07678,11.19,129.5984,6.7883,35.4,148.29999999999998,35.72,330.1443,7.6532,57.2,117.0,,,22C (72F),Baseline,1.0,16.3
,22C (72F),Control,2.0,5.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,7.1391,11.0,0.1974,0.1055,0.0919,159.0,0.08372,9.33,84.6203,5.8228,35.3,179.4,30.36,305.5317,6.6325,50.1,157.0,,,22C (72F),Control,2.0,17.5
,32C (90F),HLU,5.0,6.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,6.83,10.7,0.206,0.109,0.09699999999999999,159.0,0.08849,13.0,176.1228,6.1559,40.599999999999994,161.6,30.09,336.4284,6.783,49.0,140.2,,,32C (90F),HLU,5.0,14.3
,32C (90F),Control,4.0,7.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,7.0951,10.7,0.1851,0.0956,0.08949999999999998,148.0,0.0702,11.66,154.6935,6.4442,39.0,153.70000000000002,33.61,329.7812,6.4635,52.900000000000006,149.9,,,32C (90F),Control,4.0,16.0
,22C (72F),Baseline,1.0,8.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,7.484,11.2,0.1925,0.1024,0.0901,158.0,0.07807,9.58,129.3177,6.5174,34.2,155.70000000000002,31.53,365.5684,6.4089,51.7,151.60000000000002,,,22C (72F),Baseline,1.0,18.0
,32C (90F),HLU,5.0,9.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,6.5981,10.9,0.1841,0.0923,0.09180000000000002,143.0,0.06807,12.25,139.875,5.7927,39.9,168.2,31.430000000000003,306.2691,6.8829,52.5,142.0,,,32C (90F),HLU,5.0,14.8
,32C (90F),HLU,5.0,10.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,6.4067,10.7,0.1746,0.0887,0.0859,142.0,0.06224,11.1,134.2488,6.5056,36.1,154.79999999999998,30.099999999999998,250.8168,5.6899,53.3,180.10000000000002,,,32C (90F),HLU,5.0,14.7
,32C (90F),Control,4.0,11.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,7.0143,11.0,0.1963,0.1063,0.09,160.0,0.08139,12.690000000000001,191.2919,6.4914,33.9,154.29999999999998,33.589999999999996,237.4835,6.8884,53.3,133.8,,,32C (90F),Control,4.0,16.7
,32C (90F),HLU,5.0,12.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,7.2235,11.0,0.2008,0.1076,0.0932,162.0,0.08638,9.950000000000001,133.3539,5.9143,35.9,167.7,30.659999999999997,325.1381,6.1519,52.5,166.4,,,32C (90F),HLU,5.0,17.3
,22C (72F),Baseline,1.0,13.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,7.1611,11.2,0.1891,0.0999,0.08919999999999999,154.0,0.07655,10.280000000000001,124.597,6.0365,33.4,168.4,30.14,314.0457,6.5407,52.0,155.1,,,22C (72F),Baseline,1.0,17.1
,32C (90F),Control,4.0,14.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,6.4649,10.4,0.1752,0.0925,0.0827,148.0,0.0643,12.83,219.1178,6.4351,36.0,156.4,34.31,415.1877,7.7866,50.8,130.20000000000002,,,32C (90F),Control,4.0,15.3
,22C (72F),Control,2.0,15.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,6.7349,11.0,0.1879,0.0973,0.09060000000000001,149.0,0.07378,10.52,161.5907,5.8919,33.300000000000004,167.1,28.93,301.4977,6.5865,48.099999999999994,148.10000000000002,,,22C (72F),Control,2.0,13.9
,22C (72F),HLU,3.0,16.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,6.2499,10.7,0.1779,0.0898,0.0881,142.0,0.06439,8.83,108.6636,5.3532,38.800000000000004,202.3,24.79,227.2908,5.9935,48.9,167.5,,,22C (72F),HLU,3.0,15.0
,32C (90F),HLU,5.0,17.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,7.3297,11.2,0.2102,0.1036,0.1066,149.0,0.08915,10.05,149.8057,6.01,36.2,172.1,29.080000000000002,315.116,6.2788,52.0,158.29999999999998,,,32C (90F),HLU,5.0,17.2
,32C (90F),Control,4.0,18.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,6.2609,10.6,0.1773,0.0845,0.09280000000000001,132.0,0.06108,12.989999999999998,204.918,6.7683,36.7,153.4,32.14,424.1066,6.8261,46.5,140.8,,,32C (90F),Control,4.0,14.0
,22C (72F),HLU,3.0,19.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,5.9736,10.9,0.186,0.0917,0.0943,141.0,0.0691,6.01,47.8407,5.7987,38.4,179.10000000000002,20.599999999999998,254.2981,5.7195,44.900000000000006,182.79999999999998,,,22C (72F),HLU,3.0,17.3
,22C (72F),Control,2.0,20.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,7.0177,11.0,0.1965,0.1009,0.0956,151.0,0.07932,7.7,108.1898,5.4712,35.2,192.0,30.29,288.8186,6.178,49.6,168.1,,,22C (72F),Control,2.0,14.4
,22C (72F),Baseline,1.0,21.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,7.133,10.9,0.2016,0.1006,0.101,148.0,0.08129,12.1,184.7354,7.1159,34.8,139.6,33.2,380.9749,6.4086,52.400000000000006,159.6,,,22C (72F),Baseline,1.0,17.0
