total__N,total__Temperature,total__Treatment,total__Group   #,animal_id,total__Femur BV (mm³),total__Femur Scout View Length (mm),diaphysis_cortical__N,diaphysis_cortical__Temperature,diaphysis_cortical__Treatment,diaphysis_cortical__Group   #,diaphysis_cortical__Femur Cross Sectional Volume (mm3),diaphysis_cortical__Femur Cortical Volume (mm3),diaphysis_cortical__Femur Marrow Volume (mm3),diaphysis_cortical__Femur Cortical Thickness (µm),diaphysis_cortical__Femur pMOI (mm4),metaphysis_cancellous__N,metaphysis_cancellous__Temperature,metaphysis_cancellous__Treatment,metaphysis_cancellous__Group   #,metaphysis_cancellous__Femur BV/TV (%),metaphysis_cancellous__Femur Conn-dens (1/(mm3),metaphysis_cancellous__Femur Tb.N (1/mm),metaphysis_cancellous__Femur Tb.Th (µm),metaphysis_cancellous__Femur Tb.Sp (µm),epiphysis_cancellous__N,epiphysis_cancellous__Temperature,epiphysis_cancellous__Treatment,epiphysis_cancellous__Group   #,epiphysis_cancellous__Femur BV/TV (%),epiphysis_cancellous__Femur Conn-Dens (1/mm³),epiphysis_cancellous__Femur     Tb.N     (1/mm),epiphysis_cancellous__Femur      Tb.Th     (µm),epiphysis_cancellous__Femur     Tb.Sp     (µm),material_type,total__Humerus    BV    (mm³),total__Humerus   Scout View   Length   (mm),diaphysis_cortical__Humerus Cross Sectional Volume (mm³),diaphysis_cortical__Humerus Cortical  Volume (mm³),diaphysis_cortical__Humerus Marrow Volume (mm³),diaphysis_cortical__Humerus Cortical Thickness (µm),diaphysis_cortical__Humerus  pMOI  (mm⁴),metaphysis_cancellous__Humerus BV/TV (%),metaphysis_cancellous__Humerus Conn-Dens. (1/mm³),metaphysis_cancellous__Humerus Tb.N (1/mm),metaphysis_cancellous__Humerus Tb.Th (µm),metaphysis_cancellous__Humerus Tb.Sp (µm),epiphysis_cancellous__Humerus  BV/TV  (%),epiphysis_cancellous__Humerus  Conn-Dens.  (1/mm³),epiphysis_cancellous__Humerus  Tb.N  (1/mm),epiphysis_cancellous__Humerus Tb.Th  (µm),epiphysis_cancellous__Humerus  Tb.Sp  (µm),epiphysis_cancellous__Comments,N,temperature,condition,Group   #,body_weight_g
,32C (90F),Control,4.0,33.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,7.289,11.0,0.1935,0.1011,0.09240000000000001,153.0,0.07854,12.33,178.5005,6.0183,36.5,163.39999999999998,32.09,376.457,6.4682,52.0,153.29999999999998,,,32C (90F),Control,4.0,17.7
,22C (72F),Baseline,1.0,34.0,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,,22C (72F),Baseline,1.0,,,,,,humerus,6.6294,10.7,0.1712,0.0994,0.07179999999999999,164.0,0.0654,11.49,195.1848,6.7147,35.5,148.7,,,,,,Distal end damaged,,22C (72F),Baseline,1.0,15.7
,32C (90F),HLU,5.0,35.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,7.2235,11.0,0.2084,0.1055,0.1029,154.0,0.08913,12.120000000000001,171.9058,5.9063,39.6,171.0,29.09,246.2229,5.9871,52.5,165.20000000000002,,,32C (90F),HLU,5.0,16.6
,22C (72F),Control,2.0,36.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,7.0965,11.0,0.1934,0.0998,0.09359999999999999,152.0,0.07734,11.65,168.27,6.1665,36.5,162.5,27.88,251.3276,5.6487,50.9,176.1,,,22C (72F),Control,2.0,16.0
,32C (90F),Control,4.0,37.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,6.8386,10.8,0.1883,0.0991,0.0892,152.0,0.0749,13.69,189.1879,6.885,37.900000000000006,152.10000000000002,32.2,309.4113,6.5473,53.400000000000006,155.6,,,32C (90F),Control,4.0,17.2
,22C (72F),HLU,3.0,38.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,6.2496,11.2,0.2031,0.0993,0.1038,145.0,0.0817,6.65,65.8737,5.5909,35.2,185.5,20.39,198.3556,5.6097,44.900000000000006,179.4,,,22C (72F),HLU,3.0,14.8
10.0,22C (72F),Baseline,1.0,39.0,,,10.0,22C (72F),Baseline,1.0,,,,,,10.0,22C (72F),Baseline,1.0,,,,,,9.0,22C (72F),Baseline,1.0,,,,,,humerus,8.1103,11.4,0.2083,0.117,0.0913,168.0,0.09446,14.719999999999999,244.6994,7.1697,38.3,138.1,35.23,344.7155,6.9791,57.1,141.1,,10.0,22C (72F),Baseline,1.0,18.5
,22C (72F),HLU,3.0,40.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,7.0753,11.4,0.1973,0.0996,0.09770000000000001,149.0,0.07936,8.34,96.812,5.5631,37.1,183.4,25.480000000000004,247.2873,5.782,48.099999999999994,174.5,,,22C (72F),HLU,3.0,16.6
,22C (72F),HLU,3.0,41.0,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,,22C (72F),HLU,3.0,,,,,,humerus,6.5517,11.0,0.1855,0.0916,0.0939,142.0,0.06882,9.32,122.6247,5.5538,38.9,194.3,21.84,226.2634,5.5134,45.199999999999996,183.2,,,22C (72F),HLU,3.0,14.5
,22C (72F),Control,2.0,42.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,7.6634,11.2,0.2064,0.1097,0.0967,162.0,0.09047,10.59,153.4164,6.2916,36.6,162.6,29.04,249.0678,6.4027,52.699999999999996,159.70000000000002,,,22C (72F),Control,2.0,18.3
,22C (72F),Control,2.0,43.0,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,,22C (72F),Control,2.0,,,,,,humerus,7.5974,11.2,0.1935,0.1024,0.0911,157.0,0.07972,11.27,146.1677,5.967,36.8,168.4,31.8,290.7693,6.528,53.699999999999996,150.0,,,22C (72F),Control,2.0,18.3
,32C (90F),HLU,5.0,44.0,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,,32C (90F),HLU,5.0,,,,,,humerus,7.2703,11.0,0.2088,0.1041,0.10470000000000002,151.0,0.08811,10.96,149.7267,5.8516,37.8,174.5,30.490000000000002,289.4332,7.293,52.900000000000006,137.2,,,32C (90F),HLU,5.0,17.4
,32C (90F),Control,4.0,45.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,6.5145,10.6,0.1785,0.0966,0.08189999999999999,153.0,0.06748,14.35,215.6401,6.0577,38.1,161.6,30.470000000000002,281.1084,6.2758,52.900000000000006,157.4,,,32C (90F),Control,4.0,16.3
10.0,22C (72F),Control,2.0,46.0,,,10.0,22C (72F),Control,2.0,,,,,,10.0,22C (72F),Control,2.0,,,,,,10.0,22C (72F),Control,2.0,,,,,,humerus,6.6425,10.9,0.1997,0.0984,0.10129999999999999,144.0,0.08043,9.1,131.6281,5.7741,34.4,184.0,31.25,295.9642,7.0607,48.9,130.8,,10.0,22C (72F),Control,2.0,14.8
,32C (90F),Control,4.0,47.0,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,,32C (90F),Control,4.0,,,,,,humerus,7.6328,11.0,0.2001,0.1019,0.0982,151.0,0.08155,12.870000000000001,153.8198,6.2834,38.1,159.5,33.97,235.8627,6.2459,56.099999999999994,166.3,,,32C (90F),Control,4.0,18.7
10.0,22C (72F),HLU,3.0,48.0,,,10.0,22C (72F),HLU,3.0,,,,,,10.0,22C (72F),HLU,3.0,,,,,,10.0,22C (72F),HLU,3.0,,,,,,humerus,5.8658,11.0,0.1907,0.0908,0.0999,138.0,0.07068,4.590000000000001,34.6559,5.2842,38.699999999999996,196.70000000000002,20.94,221.2143,5.5717,45.900000000000006,178.2,,10.0,22C (72F),HLU,3.0,16.8
10.0,32C (90F),HLU,5.0,49.0,,,10.0,32C (90F),HLU,5.0,,,,,,10.0,32C (90F),HLU,5.0,,,,,,10.0,32C (90F),HLU,5.0,,,,,,humerus,7.5095,11.3,0.2169,0.1081,0.10880000000000001,154.0,0.09571,11.29,113.9403,5.8598,40.2,171.8,28.33,282.5332,5.8733,50.8,169.4,,10.0,32C (90F),HLU,5.0,19.6
10.0,32C (90F),Control,4.0,50.0,,,10.0,32C (90F),Control,4.0,,,,,,10.0,32C (90F),Control,4.0,,,,,,10.0,32C (90F),Control,4.0,,,,,,humerus,7.6945,11.2,0.2094,0.1054,0.10400000000000001,153.0,0.08857,10.85,144.921,6.1329,35.1,164.6,32.940000000000005,355.3829,6.5395,53.8,147.29999999999998,,10.0,32C (90F),Control,4.0,17.6
50.0,,,,,,,50.0,,,,,,,,,50.0,,,,,,,,,49.0,,,,,,,,,humerus,,,,,,,,,,,,,,,,,,,50.0,,,,
