Mouse #,Total__Femur BV (mm³),Diaphysis Cortical__Femur Cortical Volume (mm3),Diaphysis Cortical__Femur Marrow Volume (mm3),Diaphysis Cortical__Femur pMOI (mm4),Metaphysis Cancellous__Femur BV/TV (%),Metaphysis Cancellous__Femur Tb.Th (µm),Metaphysis Cancellous__Femur Tb.Sp (µm),Epiphysis Cancellous__Femur BV/TV (%),Epiphysis Cancellous__Femur Tb.Th (µm),Epiphysis Cancellous__Femur Tb.Sp (µm),material_type,Total__Humerus BV (mm³),Diaphysis Cortical__Humerus Cortical Volume (mm³),Diaphysis Cortical__Humerus Marrow Volume (mm³),Diaphysis Cortical__Humerus pMOI (mm⁴),Metaphysis Canc__Humerus BV/TV (%),Metaphysis Canc__Humerus Tb.Th (µm),Metaphysis Canc__Humerus Tb.Sp (µm),Epiphysis Canc__Humerus BV/TV (%),Epiphysis Canc__Humerus Tb.Th (µm),Epiphysis Canc__Humerus Tb.Sp (µm),N,Temperature,Treatment,Group #,Body Wt (g)
39.0,16.2272,0.173,0.2591,0.33375,14.52,40.5,158.0,27.22,50.5,151.60000000000002,femur,,,,,,,,,,,10.0,22C (72F),Baseline,1.0,18.5
40.0,13.1134,0.1433,0.28959999999999997,0.28619,8.86,47.6,225.70000000000002,24.02,48.099999999999994,151.2,femur,,,,,,,,,,,,22C (72F),HLU,3.0,16.6
41.0,11.9459,0.1414,0.28090000000000004,0.27615,8.690000000000001,39.300000000000004,202.6,22.42,46.199999999999996,155.5,femur,,,,,,,,,,,,22C (72F),HLU,3.0,14.5
42.0,15.4488,0.1608,0.2627,0.30961,10.14,37.1,188.4,26.029999999999998,50.3,149.5,femur,,,,,,,,,,,,22C (72F),Control,2.0,18.3
43.0,16.6275,0.1686,0.2487,0.31377,15.559999999999999,41.2,165.8,28.939999999999998,53.199999999999996,144.7,femur,,,,,,,,,,,,22C (72F),Control,2.0,18.3
44.0,13.9742,0.163,0.2843,0.32526,16.900000000000002,45.3,160.8,28.139999999999997,53.400000000000006,149.7,femur,,,,,,,,,,,,32C (90F),HLU,5.0,17.4
45.0,13.7387,0.1448,0.2397,0.24984,16.53,42.3,154.29999999999998,31.14,53.5,139.9,femur,,,,,,,,,,,,32C (90F),Control,4.0,16.3
46.0,13.8632,0.1424,0.26049999999999995,0.26094,12.97,37.6,175.8,28.21,50.2,154.9,femur,,,,,,,,,,,10.0,22C (72F),Control,2.0,14.8
47.0,15.5922,0.1623,0.2561,0.30609,17.41,45.3,167.5,28.77,52.2,150.29999999999998,femur,,,,,,,,,,,,32C (90F),Control,4.0,18.7
48.0,9.7742,0.1344,0.26560000000000006,0.23928,2.97,38.3,280.6,12.1,37.699999999999996,183.10000000000002,femur,,,,,,,,,,,10.0,22C (72F),HLU,3.0,16.8
49.0,13.6909,0.1531,0.29969999999999997,0.31387,12.19,41.7,176.9,24.19,47.5,174.1,femur,,,,,,,,,,,10.0,32C (90F),HLU,5.0,19.6
50.0,16.0754,0.1626,0.26880000000000004,0.312,17.66,40.7,154.9,29.880000000000003,56.2,161.8,femur,,,,,,,,,,,10.0,32C (90F),Control,4.0,17.6
1.0,,,,,,,,,,,humerus,6.1853,0.0923,0.1056,0.07511,7.61,35.1,189.9,25.540000000000003,48.300000000000004,172.8,,22C (72F),HLU,3.0,17.8
2.0,,,,,,,,,,,humerus,6.9075,0.1029,0.08799999999999998,0.07814,9.04,34.3,185.1,34.02,53.400000000000006,135.6,,22C (72F),Baseline,1.0,16.1
3.0,,,,,,,,,,,humerus,7.3036,0.1048,0.09689999999999999,0.08626,13.4,38.699999999999996,151.7,31.85,54.0,161.20000000000002,,32C (90F),HLU,5.0,16.5
4.0,,,,,,,,,,,humerus,7.1859,0.1002,0.0909,0.07678,11.19,35.4,148.29999999999998,35.72,57.2,117.0,,22C (72F),Baseline,1.0,16.3
5.0,,,,,,,,,,,humerus,7.1391,0.1055,0.0919,0.08372,9.33,35.3,179.4,30.36,50.1,157.0,,22C (72F),Control,2.0,17.5
6.0,,,,,,,,,,,humerus,6.83,0.109,0.09699999999999999,0.08849,13.0,40.599999999999994,161.6,30.09,49.0,140.2,,32C (90F),HLU,5.0,14.3
7.0,,,,,,,,,,,humerus,7.0951,0.0956,0.08949999999999998,0.0702,11.66,39.0,153.70000000000002,33.61,52.900000000000006,149.9,,32C (90F),Control,4.0,16.0
8.0,,,,,,,,,,,humerus,7.484,0.1024,0.0901,0.07807,9.58,34.2,155.70000000000002,31.53,51.7,151.60000000000002,,22C (72F),Baseline,1.0,18.0
